,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN,EEG,task
374,0.29396,0.13222,11.59284,1.11717,1,0.63870,0.11666,12.86310,1.11717,1,-0.03638,0.04042,0.63121,0.00324,1,0.02516,0.04350,0.65169,0.00350,1,0,0.00000,37,12,scary
375,0.29397,0.13244,11.58273,1.11717,1,0.63882,0.11703,13.51325,1.11717,1,-0.03763,0.04194,0.65398,0.00326,1,0.02544,0.04376,0.65564,0.00345,1,0,0.00000,37,12,scary
376,0.29400,0.13223,11.73334,1.12696,1,0.63920,0.11697,13.43263,1.12696,1,-0.03763,0.04194,0.65398,0.00326,1,0.02544,0.04376,0.65564,0.00344,1,0,0.00000,37,80,scary
377,0.29399,0.13200,11.79704,1.13675,1,0.63860,0.11723,13.09398,1.13675,1,-0.03763,0.04194,0.65398,0.00333,1,0.02544,0.04376,0.65564,0.00351,1,0,0.00000,37,92,scary
378,0.29435,0.13100,11.83098,1.13675,1,0.63842,0.11594,13.52965,1.13675,1,-0.03609,0.04040,0.62823,0.00356,1,0.02516,0.04362,0.65169,0.00369,1,0,0.00000,37,42,scary
379,0.29428,0.12906,12.25613,1.12696,1,0.63822,0.11396,13.06751,1.12696,1,-0.03609,0.04040,0.62823,0.00341,1,0.02516,0.04362,0.65169,0.00356,1,0,0.00000,37,500,scary
380,0.29450,0.12908,12.37494,1.11717,1,0.63865,0.11411,12.85489,1.11717,1,-0.03609,0.04040,0.62823,0.00351,1,0.02516,0.04362,0.65169,0.00361,1,0,0.00000,37,146,scary
381,0.29456,0.12806,11.96322,1.10738,1,0.63820,0.11328,13.08290,1.10738,1,-0.03623,0.04068,0.63070,0.00372,1,0.02556,0.04416,0.65878,0.00381,1,0,0.00000,37,72,scary
382,0.29456,0.12806,11.96322,1.10738,1,0.63831,0.11323,13.11610,1.10738,1,-0.03623,0.04068,0.63070,0.00372,1,0.02556,0.04416,0.65878,0.00381,1,0,0.00000,37,33,scary
383,0.29497,0.12842,12.30239,1.10738,1,0.63831,0.11323,13.11610,1.10738,1,-0.03623,0.04068,0.63070,0.00379,1,0.02556,0.04416,0.65878,0.00382,1,0,0.00000,37,27,scary
384,0.29486,0.12838,12.40474,1.11717,1,0.63886,0.11256,12.53431,1.11717,1,-0.03738,0.04215,0.65164,0.00372,1,0.02522,0.04342,0.64692,0.00401,1,0,0.00000,37,20,scary
385,0.29459,0.12786,12.39294,1.12696,1,0.63861,0.11296,12.63570,1.12696,1,-0.03738,0.04215,0.65164,0.00362,1,0.02522,0.04342,0.64692,0.00388,1,0,0.00000,37,24,scary
386,0.29498,0.12819,12.59748,1.14654,1,0.63887,0.11260,12.98034,1.14654,1,-0.03565,0.04015,0.62157,0.00376,1,0.02522,0.04342,0.64692,0.00402,1,0,0.00000,37,7,scary
387,0.29485,0.12778,11.96269,1.14654,1,0.63873,0.11340,12.35875,1.14654,1,-0.03565,0.04015,0.62157,0.00374,1,0.02522,0.04342,0.64692,0.00368,1,0,0.00000,37,5,scary
388,0.29465,0.12675,12.13762,1.14654,1,0.63870,0.11316,13.14815,1.14654,1,-0.03565,0.04015,0.62157,0.00359,1,0.02522,0.04342,0.64692,0.00369,1,0,0.00000,37,5,scary
389,0.29458,0.12692,12.31562,1.14654,1,0.63855,0.11335,12.96636,1.14654,1,-0.03738,0.04215,0.65164,0.00357,1,0.02522,0.04342,0.64692,0.00377,1,0,0.00000,37,23,scary
390,0.29429,0.12714,12.50707,1.14654,1,0.63884,0.11341,12.68227,1.14654,1,-0.03738,0.04215,0.65164,0.00383,1,0.02522,0.04342,0.64692,0.00372,1,0,0.00000,37,28,scary
391,0.29409,0.12721,12.56657,1.14654,1,0.63853,0.11327,13.00196,1.14654,1,-0.03738,0.04215,0.65164,0.00390,1,0.02522,0.04342,0.64692,0.00375,1,0,0.00000,37,65,scary
392,0.29347,0.12710,12.42480,1.13675,1,0.63800,0.11291,13.10159,1.12742,1,-0.03623,0.04080,0.63070,0.00359,1,0.02475,0.04272,0.63641,0.00385,1,0,0.00000,37,51,scary
393,0.29337,0.12753,12.55716,1.09852,1,0.63798,0.11270,13.04558,1.08920,1,-0.03623,0.04080,0.63070,0.00363,1,0.02475,0.04272,0.63641,0.00393,1,0,0.00000,37,10,scary
394,0.29373,0.12789,12.52598,1.08920,1,0.63771,0.11278,13.16456,1.08920,1,-0.03734,0.04184,0.64681,0.00361,1,0.02543,0.04427,0.65863,0.00397,1,0,0.00000,37,11,scary
395,0.29348,0.12769,12.19453,1.09899,1,0.63751,0.11227,12.72294,1.10831,1,-0.03734,0.04184,0.64681,0.00353,1,0.02543,0.04427,0.65863,0.00387,1,0,0.00000,37,27,scary
396,0.29336,0.12752,12.32803,1.11810,1,0.63737,0.11247,12.74970,1.12742,1,-0.03734,0.04184,0.64681,0.00350,1,0.02543,0.04427,0.65863,0.00386,1,0,0.00000,37,27,scary
397,0.29313,0.12746,12.15628,1.13721,1,0.63722,0.11321,12.83431,1.14654,1,-0.03734,0.04184,0.64681,0.00343,1,0.02543,0.04427,0.65863,0.00371,1,0,0.00000,37,27,scary
398,0.29301,0.12760,11.98687,1.14654,1,0.63741,0.11347,12.98914,1.14654,1,-0.03734,0.04184,0.64681,0.00349,1,0.02543,0.04427,0.65863,0.00370,1,0,0.00000,37,103,scary
399,0.29279,0.12805,12.62236,1.14654,1,0.63708,0.11328,13.04016,1.14654,1,-0.03734,0.04184,0.64681,0.00361,1,0.02543,0.04427,0.65863,0.00368,1,0,0.00000,37,120,scary
400,0.29249,0.12719,12.21146,1.14654,1,0.63694,0.11291,13.16135,1.13721,1,-0.17712,0.20147,3.11449,0.00361,0,0.02417,0.04223,0.62737,0.00362,1,0,0.00000,37,105,scary
401,0.29231,0.12842,12.63969,1.13721,1,0.63676,0.11263,12.93818,1.12789,1,-0.17712,0.20147,3.11449,0.00351,0,0.02417,0.04223,0.62737,0.00354,1,0,0.00000,37,41,scary
402,0.29219,0.12754,12.06053,1.12789,1,0.63689,0.11251,12.82099,1.11856,1,-0.17712,0.20147,3.11449,0.00381,0,0.02417,0.04223,0.62737,0.00353,1,0,0.00000,37,57,scary
403,0.29183,0.12786,11.87003,1.11856,1,0.63612,0.11303,12.62724,1.11856,1,-0.17712,0.20147,3.11449,0.00359,0,0.02477,0.04361,0.64783,0.00365,1,0,0.00000,37,57,scary
404,0.29190,0.12763,11.82316,1.11856,1,0.63626,0.11212,12.70489,1.12789,1,-0.17712,0.20147,3.11449,0.00345,0,0.02477,0.04361,0.64783,0.00339,1,0,0.00000,37,0,scary
405,0.29183,0.12815,11.98384,1.12789,1,0.63604,0.11208,12.96769,1.13721,1,-0.17712,0.20147,3.11449,0.00358,0,0.02477,0.04361,0.64783,0.00345,1,0,0.00000,37,64,scary
406,0.29183,0.12815,11.98384,1.13721,1,0.63584,0.11229,12.66230,1.14654,1,-0.17712,0.20147,3.11449,0.00358,0,0.02477,0.04361,0.64783,0.00352,1,0,0.00000,37,51,scary
407,0.29175,0.12777,12.09189,1.14654,1,0.63590,0.11242,12.77904,1.14654,1,-0.17712,0.20147,3.11449,0.00343,0,0.02477,0.04361,0.64783,0.00353,1,0,0.00000,37,21,scary
408,0.29202,0.12828,11.68629,1.14654,1,0.63604,0.11186,11.95106,1.14654,1,-0.17712,0.20147,3.11449,0.00370,0,0.02477,0.04361,0.64783,0.00402,1,0,0.00000,37,21,scary
409,0.29176,0.12803,11.87550,1.14654,1,0.63626,0.11184,12.01115,1.14654,1,-0.17712,0.20147,3.11449,0.00358,0,0.02477,0.04361,0.64783,0.00400,1,0,0.00000,37,20,scary
410,0.29208,0.12873,12.11367,1.14654,1,0.63625,0.11156,12.03335,1.14654,1,-0.17712,0.20147,3.11449,0.00359,0,0.02477,0.04361,0.64783,0.00390,1,0,0.00000,37,26,scary
411,0.29189,0.12821,11.89774,1.14654,1,0.63611,0.11273,12.18659,1.14654,1,-0.17712,0.20147,3.11449,0.00381,0,0.02477,0.04361,0.64783,0.00386,1,0,0.00000,36,26,scary
412,0.29193,0.12876,11.73773,1.13675,1,0.63596,0.11302,12.65604,1.13675,1,-0.03663,0.04059,0.62930,0.00364,1,0.02477,0.04361,0.64783,0.00380,1,0,0.00000,36,26,scary
413,0.29178,0.12929,11.73795,1.12696,1,0.63587,0.11286,12.42475,1.12696,1,-0.03663,0.04059,0.62930,0.00358,1,0.02477,0.04361,0.64783,0.00389,1,0,0.00000,36,34,scary
414,0.29075,0.12895,12.25386,1.11717,1,0.63579,0.11248,12.54325,1.11717,1,-0.03663,0.04059,0.62930,0.00344,1,0.02477,0.04361,0.64783,0.00367,1,0,0.00000,36,98,scary
415,0.29102,0.12875,12.07704,1.11717,1,0.63511,0.11256,12.08936,1.11717,1,-0.03758,0.04151,0.64264,0.00359,1,0.02498,0.04441,0.65980,0.00387,1,0,0.00000,36,22,scary
416,0.29102,0.12878,12.12372,1.12696,1,0.63542,0.11216,11.71926,1.12696,1,-0.03758,0.04151,0.64264,0.00357,1,0.02498,0.04441,0.65980,0.00384,1,0,0.00000,36,32,scary
